chainId,dexId,baseToken,pairAddress,liquidity,ccxt_ticker
optimism,beethovenx,WETH,0x39965c9dab5448482cf7e002f583c812ceb53046000100000000000000000003-0x4200000000000000000000000000000000000006-0x7F5c764cBc14f9669B88837ca1490cCa17c31607,"{""usd"":51759,""base"":27.71,""quote"":17262}",ETH
avalanche,kyberswap,KNC,0x6Fd1e887499950032D9Ec503287eAc3402be3819,"{""usd"":81966,""base"":123297,""quote"":3914}",KNC
fantom,beethovenx,SOL,0x65411827ef78f08f6559acf91de3a4f5a26d785c0001000000000000000004c6-0x44F7237df00E386af8e79B817D05ED9f6FE0f296-0x511D35c52a3C244E7b8bd92c0C297755FbD89212,"{""usd"":86154,""base"":3271,""quote"":3741}",SOL
fantom,beethovenx,CRV,0xdf02adb3cd587da89af29e58de70b840e49490250001000000000000000005b8-0x1E4F97b9f9F913c46F1632781732927B9019C68b-0x74b23882a30290451A17c44f4F05243b6b58C76d,"{""usd"":102436,""base"":59056,""quote"":56.71}",CRV
aurora,polaris,WBTC,0xb3a04902b78fbe61185b766866193630db4db8a300020000000000000000000d-0xB12BFcA5A55806AaF64E99521918A4bf0fC40802-0xF4eB217Ba2454613b15dBdea6e5f22276410e89e,"{""usd"":114016,""base"":3.411,""quote"":57008}",BTC
moonriver,huckleberry,BTC.m,0x3fAF6e9Bf107199dB347B146F80A68CBD0B598B2,"{""usd"":73774,""base"":2.171,""quote"":5827}",BTC
smartbch,benswap,bbBUSD,0xf9efb594f6D7644961A6126895242c0CE3341F10,"{""usd"":50671.16161166008,""base"":24956,""quote"":249.61}",BUSD
boba,oolongswap,AVAX,0x0e971c131BBb7347016fB24FC4B3F93f894f3E61,"{""usd"":86684,""base"":3688,""quote"":34.06}",AVAX
elastos,glidefinance,bnbBUSD,0x9ad2439CaE9440427f3dFF53A11A57A5a7211152,"{""usd"":130871.157082,""base"":64597,""quote"":65436}",BUSD
elastos,glidefinance,ETH,0xa86883c2405f4557D2242Df47b220C54d0D611e4,"{""usd"":84157.14512162741,""base"":33.8,""quote"":51152}",ETH
ethereum,uniswap,BUSD,0x5E35C4Eba72470Ee1177dcB14dDdf4d9e6D915f4,"{""usd"":5570492,""base"":1890193,""quote"":3680346}",BUSD
bsc,apeswap,ADA,0x40d4543887E4170A1A40Cd8dB15A6b297c812Cb1,"{""usd"":255292.47002010248,""base"":470576,""quote"":498.59}",ADA
polygon,apeswap,BNB,0x0359001070cF696D5993E0697335157a6f7dB289,"{""usd"":396412.1433696997,""base"":774.82,""quote"":255531}",BNB
iotex,mimo,WIOTX,0xe82b7054471D3f5cc825C50350Da3bCa64f7Be4E,"{""usd"":507729,""base"":11634095,""quote"":253865}",IOTX
ethereum,balancer,WBTC,0x344818b9b4cfec947fe8ccbea65b3605585c2c71000100000000000000000404-0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599-0xc00e94Cb662C3520282E6f5717214004A7f26888,"{""usd"":342651,""base"":13.42,""quote"":3379}",BTC
